record_id_1,record_id_2,true_agent_id_1,true_agent_id_2,is_true_match,similarity_score,pair_key,splink_score,final_score,decision
REC00109,REC00110,0c424b58,0c424b58,1,0.9822,REC00109_REC00110,0.9993190539568642,0.9925,AUTO_MERGE
REC00007,REC00337,06093853,bcad6057,0,0.6434,REC00007_REC00337,0.0,0.2574,KEEP_SEPARATE
REC00180,REC00181,ba5fa866,ba5fa866,1,0.9677,REC00180_REC00181,0.9997483924577089,0.9869,AUTO_MERGE
REC00121,REC00422,5217f2f0,66356026,0,0.7955,REC00121_REC00422,0.0,0.3182,KEEP_SEPARATE
REC00134,REC00136,862781a0,862781a0,1,0.9323,REC00134_REC00136,0.9999761133654689,0.9729,AUTO_MERGE
REC00245,REC00456,dad98f26,f9c6692f,0,0.7695,REC00245_REC00456,0.0,0.3078,KEEP_SEPARATE
REC00019,REC00230,3f5b2c93,7700fe54,0,0.8021,REC00019_REC00230,0.0,0.3208,KEEP_SEPARATE
REC00018,REC00229,3f5b2c93,7700fe54,0,0.689,REC00018_REC00229,0.0,0.2756,KEEP_SEPARATE
REC00019,REC00151,3f5b2c93,652786fd,0,0.7813,REC00019_REC00151,0.0,0.3125,KEEP_SEPARATE
REC00142,REC00397,e2acc578,245d4931,0,0.8319,REC00142_REC00397,0.0,0.3328,KEEP_SEPARATE
REC00048,REC00262,147086bd,b1917b7f,0,0.8841,REC00048_REC00262,0.0,0.3536,KEEP_SEPARATE
REC00150,REC00227,652786fd,7700fe54,0,0.8139,REC00150_REC00227,0.0,0.3256,KEEP_SEPARATE
REC00019,REC00272,3f5b2c93,497d833b,0,0.7161,REC00019_REC00272,0.0,0.2864,KEEP_SEPARATE
REC00153,REC00255,b280c279,470debc5,0,0.62,REC00153_REC00255,0.0,0.248,KEEP_SEPARATE
REC00444,REC00497,a20c8c3f,9e8f83c1,0,0.7779,REC00444_REC00497,0.0,0.3112,KEEP_SEPARATE
REC00365,REC00470,ab5a37f3,2e3646d3,0,0.8983,REC00365_REC00470,0.0,0.3593,KEEP_SEPARATE
REC00144,REC00357,35dcb509,c6e4d4b4,0,0.7207,REC00144_REC00357,0.0,0.2883,KEEP_SEPARATE
